crop_type,growth_stage,soil_moisture,air_humidity,temperature,irrigate
okra,vegetative,48.7,56.7,32.6,1
tomato,fruiting,50.6,56.7,30.3,0
okra,flowering,81.0,64.6,33.3,0
okra,fruiting,43.7,78.7,31.4,0
okra,fruiting,40.7,60.0,35.1,0
chili,fruiting,51.1,62.4,33.1,1
okra,vegetative,53.5,72.2,24.9,1
chili,flowering,25.3,71.8,31.5,1
tomato,vegetative,73.7,70.8,32.5,0
okra,seedling,48.7,75.3,23.9,1
tomato,flowering,42.4,70.5,34.0,1
tomato,vegetative,74.6,95.8,22.8,0
chili,vegetative,53.8,83.6,28.7,0
tomato,seedling,40.3,88.0,25.4,1
okra,flowering,74.9,94.9,22.9,0
chili,flowering,54.2,69.8,32.5,0
tomato,seedling,57.9,90.1,25.4,1
okra,flowering,72.3,70.3,25.8,0
chili,seedling,47.2,54.6,32.9,1
tomato,seedling,57.6,66.6,30.3,1
okra,vegetative,40.8,86.6,24.0,0
chili,vegetative,53.1,83.7,26.6,0
tomato,fruiting,64.7,68.9,32.3,0
okra,seedling,50.2,71.5,33.5,0
chili,vegetative,33.9,87.4,27.2,1
okra,flowering,51.8,63.9,31.0,0
okra,seedling,49.0,91.0,23.3,0
chili,fruiting,26.3,70.0,28.6,1
okra,flowering,29.4,82.0,25.7,1
tomato,fruiting,65.9,87.2,25.0,1
tomato,fruiting,21.6,42.5,32.4,1
chili,seedling,47.9,81.3,33.2,0
okra,vegetative,43.3,92.8,23.5,1
chili,flowering,63.3,85.1,23.3,0
chili,seedling,38.1,77.2,33.5,0
okra,vegetative,59.2,84.0,24.4,0
okra,flowering,44.4,67.7,32.3,1
okra,fruiting,51.6,72.1,28.8,0
tomato,vegetative,68.3,77.3,32.7,0
okra,fruiting,43.5,64.3,33.0,1
chili,flowering,59.0,77.9,28.3,0
chili,seedling,31.1,89.3,26.6,1
chili,vegetative,49.1,73.2,31.4,0
tomato,fruiting,70.9,67.5,31.8,0
tomato,seedling,67.2,67.9,35.0,0
chili,seedling,71.8,83.3,32.8,0
okra,vegetative,39.3,87.6,24.9,1
okra,fruiting,30.7,67.3,32.4,1
tomato,flowering,44.1,69.1,31.8,1
okra,seedling,59.2,75.6,32.4,0
tomato,vegetative,65.0,68.8,29.8,1
okra,fruiting,51.4,62.2,33.4,0
chili,seedling,29.3,63.8,29.2,1
chili,flowering,55.7,54.2,34.0,1
okra,vegetative,32.9,67.5,30.5,1
chili,fruiting,61.2,66.7,32.2,0
okra,fruiting,88.0,86.0,29.5,0
chili,fruiting,50.1,71.4,31.9,0
okra,seedling,58.2,86.8,21.7,1
chili,vegetative,38.1,64.8,31.0,1
tomato,flowering,32.7,92.0,26.1,1
okra,vegetative,41.6,75.1,32.1,1
chili,flowering,29.7,98.0,19.4,0
chili,flowering,24.7,87.6,22.7,1
tomato,vegetative,82.1,75.6,31.9,0
tomato,seedling,61.8,59.8,32.3,0
chili,fruiting,50.3,84.9,26.1,0
tomato,fruiting,53.7,98.0,22.4,0
okra,fruiting,47.6,70.9,31.2,1
okra,vegetative,63.5,60.8,32.5,0
okra,vegetative,49.5,91.1,23.7,0
okra,vegetative,57.4,63.9,32.1,0
chili,seedling,42.3,66.1,28.6,0
tomato,seedling,53.2,73.1,31.7,1
chili,vegetative,25.3,82.6,29.1,1
chili,fruiting,17.3,88.4,22.8,1
okra,seedling,46.3,77.4,27.0,0
tomato,flowering,58.8,59.3,32.6,0
chili,flowering,27.0,56.6,35.9,1
chili,vegetative,44.5,87.8,22.3,0
tomato,fruiting,58.8,74.3,26.4,0
tomato,seedling,27.8,77.5,33.3,1
chili,fruiting,32.2,72.5,31.3,1
tomato,flowering,63.7,73.2,31.3,0
tomato,vegetative,63.4,92.8,24.4,0
chili,fruiting,28.8,96.1,22.7,1
tomato,vegetative,60.2,62.8,32.7,1
chili,fruiting,59.3,87.1,24.9,0
tomato,seedling,68.9,87.6,23.2,0
tomato,seedling,56.7,76.0,29.8,0
chili,flowering,38.4,60.4,35.8,1
okra,fruiting,41.2,65.5,31.7,0
chili,seedling,51.5,59.7,31.4,0
okra,fruiting,52.7,94.1,21.8,1
chili,fruiting,53.8,74.3,28.7,0
chili,vegetative,46.8,55.3,31.6,1
chili,fruiting,56.5,92.7,23.3,0
okra,fruiting,51.3,72.2,32.8,0
okra,seedling,61.0,98.0,22.5,0
okra,fruiting,62.2,75.1,27.9,0
okra,flowering,38.7,86.8,22.8,1
chili,seedling,19.7,50.3,35.8,1
chili,flowering,66.6,75.3,29.5,1
okra,flowering,53.6,83.2,26.3,0
tomato,fruiting,34.0,56.0,34.3,1
chili,fruiting,35.0,62.1,33.7,1
okra,vegetative,60.8,61.9,28.7,1
chili,vegetative,41.1,75.3,31.5,1
tomato,seedling,50.8,87.0,22.1,0
chili,seedling,64.6,65.2,32.8,0
tomato,flowering,43.3,58.0,31.8,0
okra,fruiting,38.8,94.2,19.7,0
okra,seedling,53.0,77.7,27.1,1
tomato,flowering,63.5,69.6,31.1,0
chili,flowering,51.9,72.2,31.5,0
okra,seedling,62.8,88.3,27.7,0
okra,seedling,52.8,83.8,27.5,0
tomato,vegetative,64.9,77.1,30.9,1
chili,flowering,41.4,98.0,23.6,0
chili,vegetative,45.9,90.0,24.6,1
chili,fruiting,46.5,64.8,33.0,0
tomato,vegetative,61.0,80.3,29.7,1
tomato,seedling,68.8,98.0,22.3,0
okra,seedling,57.8,88.1,25.6,0
tomato,vegetative,58.6,64.7,29.0,0
tomato,vegetative,46.7,85.5,22.5,1
tomato,flowering,58.9,66.4,31.7,0
tomato,vegetative,57.6,86.2,26.7,1
tomato,seedling,60.7,91.8,22.2,0
chili,seedling,75.9,93.5,24.8,0
okra,flowering,42.7,71.3,34.2,1
tomato,vegetative,63.9,79.6,30.5,0
tomato,flowering,73.0,76.6,31.8,0
tomato,fruiting,59.4,66.6,29.4,0
chili,vegetative,77.7,72.6,31.3,0
tomato,flowering,52.7,91.4,20.7,0
okra,fruiting,54.5,50.3,34.2,0
chili,seedling,33.8,61.3,33.7,1
okra,flowering,45.1,74.9,32.7,1
chili,vegetative,48.5,87.6,25.2,1
chili,flowering,56.8,76.4,34.1,0
okra,flowering,54.5,72.6,30.5,0
chili,seedling,62.6,88.7,30.4,0
okra,seedling,48.7,93.0,22.3,0
okra,seedling,45.3,59.0,35.5,0
chili,seedling,82.9,54.8,33.5,0
okra,seedling,55.5,96.0,23.7,0
tomato,flowering,47.9,67.7,30.5,1
okra,fruiting,40.3,86.6,22.6,0
okra,vegetative,36.8,75.7,32.3,0
okra,fruiting,63.1,78.6,30.8,0
tomato,flowering,52.9,88.1,26.9,1
okra,fruiting,51.8,89.3,22.3,0
chili,flowering,44.1,63.4,33.5,1
tomato,seedling,68.2,86.1,24.4,0
tomato,flowering,46.1,72.2,32.3,1
chili,flowering,29.9,98.0,21.2,0
tomato,flowering,61.1,76.1,29.6,1
tomato,fruiting,66.4,78.5,33.1,0
chili,seedling,49.7,81.8,28.8,0
chili,flowering,33.7,79.9,26.4,1
tomato,fruiting,67.5,89.0,25.7,0
okra,seedling,39.6,72.6,34.7,1
okra,vegetative,42.7,83.5,31.2,0
chili,fruiting,31.8,77.3,31.4,1
okra,seedling,68.2,73.9,29.5,0
chili,seedling,53.9,64.6,32.6,0
tomato,fruiting,66.5,91.3,24.1,0
tomato,seedling,75.5,93.5,26.3,0
okra,flowering,88.0,76.2,29.7,0
okra,fruiting,26.1,74.9,30.3,1
okra,vegetative,39.7,69.9,31.2,1
tomato,vegetative,49.4,66.5,31.5,1
tomato,vegetative,46.1,94.4,20.8,0
tomato,vegetative,42.9,64.5,33.6,0
tomato,vegetative,53.8,79.3,32.1,1
tomato,flowering,41.0,59.1,34.7,1
chili,fruiting,49.7,93.0,22.0,0
tomato,fruiting,58.7,76.9,25.8,0
okra,fruiting,56.7,72.2,32.1,0
chili,seedling,52.1,88.4,27.5,0
tomato,vegetative,66.4,71.5,34.9,1
chili,fruiting,39.8,92.5,22.6,0
okra,flowering,79.7,66.7,33.9,0
tomato,vegetative,61.3,68.8,31.1,1
tomato,vegetative,31.9,69.8,32.5,1
tomato,seedling,44.0,72.5,30.9,0
okra,vegetative,25.6,65.2,33.1,1
tomato,vegetative,58.2,83.7,25.9,0
chili,vegetative,43.3,81.8,27.6,0
chili,flowering,38.4,58.4,34.8,1
okra,vegetative,78.2,84.6,24.5,0
tomato,seedling,65.7,98.0,23.9,0
okra,fruiting,60.2,98.0,26.4,0
okra,vegetative,37.0,59.7,31.8,1
chili,vegetative,31.0,60.5,31.3,1
tomato,flowering,58.5,57.6,33.3,0
okra,flowering,52.4,65.6,32.5,0
tomato,flowering,32.0,98.0,20.7,1
chili,seedling,42.5,84.8,26.7,1
chili,flowering,45.2,97.4,20.5,1
tomato,seedling,55.0,69.4,32.7,1
chili,fruiting,33.6,66.9,30.3,1
tomato,vegetative,50.4,80.2,26.2,1
tomato,vegetative,55.5,78.4,27.6,1
tomato,vegetative,59.3,61.8,29.9,0
tomato,vegetative,66.5,58.1,32.5,0
chili,flowering,60.1,63.1,30.6,0
okra,vegetative,45.9,67.8,34.0,1
tomato,seedling,51.6,79.5,27.9,0
tomato,flowering,64.1,72.9,31.6,0
tomato,vegetative,66.6,55.3,31.7,0
chili,seedling,38.9,77.7,23.8,0
tomato,fruiting,69.1,74.2,31.2,0
chili,vegetative,58.7,49.4,31.5,0
tomato,flowering,76.1,73.7,32.9,0
tomato,seedling,82.9,63.8,28.4,0
chili,vegetative,32.9,88.2,26.1,1
chili,vegetative,45.2,84.3,22.8,1
chili,seedling,45.2,69.1,34.3,1
okra,fruiting,48.6,98.0,27.0,1
chili,vegetative,35.9,59.5,28.8,0
okra,flowering,29.2,89.7,25.1,1
